tipo,subject,body,puntuacion,evidencias,entidad evaluada,dao de arbitraje
onchain,scam contract,dextools.io reported,1,,0xeb20e8de2e9f1bbbeae7a4ea33bb293324e059e0,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x7bb1d48e9d2af69fbaddd96a875b0012b20e57ed,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xcae8c1688c37f75fa4c5051dd25de4c5400f1f6c,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x43f11c02439e2736800433b4594994bd43cd066d,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x12ff68b3b3467a5911641deb7431995f5c691d40,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x5e988cf3a6d9995e1192a5db900bc2b89943b63b,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x5526f0cab9f260023e94cf01e353e70d2f45ed81,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x4469f9cdd223e7556b40832bef1b3bde78dd886e,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x362327676512e3d4a2d7c1db2b315d404b965e2f,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x5919b0abc5f136ebb2cdede200f17e4b5d199736,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x2506166d28e4c36c4a3eea32e0e5b197cf933142,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x6637a26a0bf7db77ecb3b63434978766038849ae,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x8c38816f9f39c241a5ad964c892f979bf3fc7372,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x6ef5febbd2a56fab23f18a69d3fb9f4e2a70440b,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x6c21b15b11d0c15b7acdf1fc6551a31fa652b026,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x7702533995fbf1fac529565a8cb6869cebf410a4,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xff0a0b38b9ecc6d1eec7fdac2d192ad30ca67e70,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x5adb27b6793c85cc996a5b971770cc53e03c5dab,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xd88ab21e4ff6b97aefab22612032152c9a8ff94f,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x10d08485b336d445e89dbc52c7e5d3b0cc4a8770,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x34df251ef347ff91e2c540fd7842b72dda140e34,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xdbd64eae4474f521c1a6c2f37fd61fe7a9817998,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x69690098d0b84f44951c92ef5779b7c995d06969,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x696ba7e42ce8843b43c58060d8354bb1d972d3f4,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xe646561633f9a776139e867dfca6056980ed2545,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x98514e9b02b0e92fc1880f78e78001f9dd99f281,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xb437a128720edae77c3b664b1f76755c52e68e96,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x3bdcf393424a71391f64f8ca79626a05000d61ca,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x3d6e05afca5ea24ad488f6f8013b442a7aed98da,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x57bc2e846188fa55bbb3842e6f5d94a1cfee4879,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
